Ticker,CompanyName,Year,Date,Revenue,GrossProfit,OperatingIncome,NetIncome,GrossProfitMargin,OperatingProfitMargin,NetProfitMargin,EffectiveTaxRate
MMM,3M,2021,2021-09-30,8942000000.0,4089000000.0,1868000000.0,1434000000.0,45.72802505032431,20.890181167524045,16.03668083202863,18.39863713798978
MMM,3M,2021,2021-06-30,8950000000.0,4231000000.0,2051000000.0,1524000000.0,47.27374301675978,22.916201117318437,17.027932960893853,21.391752577319586
MMM,3M,2021,2021-03-31,8851000000.0,4327000000.0,2087000000.0,1624000000.0,48.887131397582195,23.57925658117727,18.34820924189357,16.392600205549847
MMM,3M,2020,2020-12-31,8583000000.0,4246000000.0,1983000000.0,1389000000.0,49.4698823255272,23.103809856693463,16.183152743795876,18.522860492379838
MMM,3M,2021,2021-09-30,8942000000.0,4089000000.0,1868000000.0,1434000000.0,45.72802505032431,20.890181167524045,16.03668083202863,18.39863713798978
MMM,3M,2021,2021-06-30,8950000000.0,4231000000.0,2051000000.0,1524000000.0,47.27374301675978,22.916201117318437,17.027932960893853,21.391752577319586
MMM,3M,2021,2021-03-31,8851000000.0,4327000000.0,2087000000.0,1624000000.0,48.887131397582195,23.57925658117727,18.34820924189357,16.392600205549847
MMM,3M,2020,2020-12-31,8583000000.0,4246000000.0,1983000000.0,1389000000.0,49.4698823255272,23.103809856693463,16.183152743795876,18.522860492379838
AOS,A. O. Smith,2021,2021-09-30,914600000.0,340300000.0,166000000.0,131600000.0,37.20752241417013,18.150010933741527,14.388803848677018,20.91346153846154
AOS,A. O. Smith,2021,2021-06-30,859800000.0,321400000.0,151600000.0,118200000.0,37.380786229355664,17.632007443591533,13.747383112351711,21.877065432914737
AOS,A. O. Smith,2021,2021-03-31,769000000.0,288600000.0,122100000.0,97700000.0,37.52925877763329,15.8777633289987,12.704811443433032,22.5218080888184
AOS,A. O. Smith,2020,2020-12-31,834500000.0,324100000.0,139400000.0,120000000.0,38.83762732174955,16.70461354104254,14.37986818454164,21.00065832784727
ABT,Abbott Laboratories,2021,2021-09-30,10928000000.0,6505000000.0,2614000000.0,2100000000.0,59.52598828696926,23.92020497803807,19.216691068814058,15.764139590854393
ABT,Abbott Laboratories,2021,2021-06-30,10223000000.0,5786000000.0,1970000000.0,1189000000.0,56.5978675535557,19.27027291401741,11.630636799373962,11.795252225519288
ABT,Abbott Laboratories,2021,2021-03-31,10456000000.0,6056000000.0,2177000000.0,1793000000.0,57.91889824024483,20.820581484315227,17.14804896710023,12.236906510034263
ABT,Abbott Laboratories,2020,2020-12-31,10701000000.0,6207000000.0,2531000000.0,2162000000.0,58.00392486683488,23.65199514064106,20.203719278572095,9.631490787269682
ABBV,AbbVie,2021,2021-09-30,14342000000.0,9998000000.0,4897000000.0,3179000000.0,69.7113373309162,34.14447078510668,22.165667270952447,13.774403470715836
ABBV,AbbVie,2021,2021-06-30,13959000000.0,9461000000.0,4696000000.0,766000000.0,67.77706139408266,33.641378322229386,5.487499104520381,33.87790197764403
ABBV,AbbVie,2021,2021-03-31,13010000000.0,8818000000.0,4346000000.0,3553000000.0,67.77863182167565,33.40507302075327,27.309761721752494,8.068269976726144
ABBV,AbbVie,2020,2020-12-31,13858000000.0,10448000000.0,5528000000.0,36000000.0,75.3932746428056,39.890316062923944,0.2597777457064512,0.0
ABMD,Abiomed,2021,2021-09-30,248142000.0,204256000.0,60436000.0,56953000.0,82.31415882841276,24.35540940268072,22.951777611206488,15.337961380089487
ABMD,Abiomed,2021,2021-06-30,252585000.0,207397000.0,67076000.0,-26525000.0,82.10978482491042,26.555812894669124,-10.501415365124611,0.0
ABMD,Abiomed,2021,2021-03-31,241245000.0,195167000.0,62194000.0,56856000.0,80.89991502414557,25.780430682501194,23.56774233662874,22.638582741448282
ABMD,Abiomed,2020,2020-12-31,231663000.0,190553000.0,72250000.0,61868000.0,82.25439539330839,31.187543975516157,26.70603419622469,23.369046881773702
ACN,Accenture,2021,2021-08-31,13419284000.0,4466216000.0,1958689000.0,1416248000.0,33.28207376787018,14.596076810059314,10.553826865874512,25.04853204575022
ACN,Accenture,2021,2021-05-31,13263795000.0,4404384000.0,2118656000.0,1549426000.0,33.20606206594719,15.973226365455739,11.681619023816337,25.044352891904065
ACN,Accenture,2021,2021-02-28,12088125000.0,3595232000.0,1653515000.0,1440859000.0,29.741849956051908,13.678837702290473,11.919623597538907,17.075729541324172
ACN,Accenture,2020,2020-11-30,11762185000.0,3898296000.0,1890669000.0,1500276000.0,33.14261763439361,16.07413078437382,12.755079094572991,23.3941174723824
ATVI,Activision Blizzard,2021,2021-09-30,2070000000.0,1543000000.0,827000000.0,639000000.0,74.54106280193237,39.95169082125604,30.869565217391305,15.810276679841898
ATVI,Activision Blizzard,2021,2021-06-30,2296000000.0,1741000000.0,972000000.0,876000000.0,75.82752613240417,42.33449477351917,38.153310104529616,12.574850299401197
ATVI,Activision Blizzard,2021,2021-03-31,2275000000.0,1697000000.0,825000000.0,619000000.0,74.5934065934066,36.26373626373626,27.20879120879121,19.084967320261438
ATVI,Activision Blizzard,2020,2020-12-31,2412000000.0,1595000000.0,650000000.0,509000000.0,66.12769485903814,26.9485903814262,21.102819237147596,9.591474245115453
ADM,ADM,2021,2021-09-30,20340000000.0,1326000000.0,607000000.0,526000000.0,6.519174041297935,2.984267453294002,2.5860373647984267,18.376722817764165
ADM,ADM,2021,2021-06-30,22926000000.0,1463000000.0,642000000.0,712000000.0,6.381401029398935,2.8003140539125884,3.1056442467067957,13.696969696969695
ADM,ADM,2021,2021-03-31,18893000000.0,1548000000.0,843000000.0,689000000.0,8.193510824114751,4.461970041814429,3.646853331921876,15.898058252427186
ADM,ADM,2020,2020-12-31,17978000000.0,1352000000.0,615000000.0,687000000.0,7.520302592056958,3.420847702747803,3.821337189898765,8.333333333333332
ADBE,Adobe,2021,2021-09-03,3935000000.0,3468000000.0,1441000000.0,1212000000.0,88.13214739517153,36.62007623888183,30.8005082592122,14.527503526093088
ADBE,Adobe,2021,2021-06-04,3835000000.0,3391000000.0,1406000000.0,1116000000.0,88.42242503259452,36.662320730117344,29.10039113428944,19.480519480519483
ADBE,Adobe,2021,2021-03-05,3905000000.0,3458000000.0,1454000000.0,1261000000.0,88.55313700384123,37.234314980793854,32.29193341869398,12.002791346824843
ADBE,Adobe,2020,2020-11-27,3424000000.0,2996000000.0,1215000000.0,2250000000.0,87.5,35.48481308411215,65.71261682242991,-87.96992481203007
AAP,Advance Auto Parts,2021,2021-07-17,2649415000.0,1189416000.0,256623000.0,178696000.0,44.893533100703365,9.686025028166595,6.744734214911594,24.843437848295586
AAP,Advance Auto Parts,2021,2021-07-17,2649415000.0,1189416000.0,256623000.0,178696000.0,44.893533100703365,9.686025028166595,6.744734214911594,0.0
AAP,Advance Auto Parts,2021,2021-04-24,3330370000.0,1487229000.0,287091000.0,185930000.0,44.656569690454816,8.620393529848034,5.5828631653539995,24.349198857486957
AAP,Advance Auto Parts,2021,2021-04-17,2989892500.0,1338322500.0,287091000.0,182313000.0,44.76155915304647,9.09251754034635,6.097643978838704,0.0
AMD,Advanced Micro Devices,2021,2021-09-25,4313000000.0,2086000000.0,956000000.0,923000000.0,48.36540690934385,22.165546023649433,21.400417342916764,8.159203980099502
AMD,Advanced Micro Devices,2021,2021-06-26,3850000000.0,1830000000.0,841000000.0,710000000.0,47.53246753246753,21.844155844155843,18.441558441558442,13.730255164034022
AMD,Advanced Micro Devices,2021,2021-03-27,3445000000.0,1587000000.0,677000000.0,555000000.0,46.066763425253995,19.651669085631347,16.110304789550074,13.819875776397517
AMD,Advanced Micro Devices,2020,2020-12-26,3244000000.0,1451000000.0,570000000.0,1781000000.0,44.72872996300863,17.57090012330456,54.90135635018496,-224.40801457194902
AES,AES Corp,2021,2021-09-30,3036000000.0,760000000.0,721000000.0,343000000.0,25.03293807641634,23.748353096179184,11.29776021080369,20.621931260229132
AES,AES Corp,2021,2021-06-30,2700000000.0,728000000.0,683000000.0,28000000.0,26.962962962962962,25.296296296296294,1.037037037037037,0.0
AES,AES Corp,2021,2021-03-31,2635000000.0,664000000.0,618000000.0,-148000000.0,25.19924098671727,23.453510436432637,-5.616698292220114,0.0
AES,AES Corp,2020,2020-12-31,2560000000.0,724000000.0,677000000.0,318000000.0,28.281250000000004,26.4453125,12.421875,28.647686832740217
AFL,Aflac,2021,2021-09-30,5237000000.0,2039000000.0,1170000000.0,888000000.0,38.93450448730189,22.341034943670042,16.95627267519572,20.21563342318059
AFL,Aflac,2021,2021-06-30,5564000000.0,2316000000.0,1435000000.0,1105000000.0,41.624730409777136,25.790797987059673,19.859813084112147,19.519300801165333
AFL,Aflac,2021,2021-03-31,5869000000.0,2497000000.0,1665000000.0,1293000000.0,42.54557846311126,28.369398534673714,22.031010393593455,19.33873986275733
AFL,Aflac,2020,2020-12-31,5913000000.0,2316000000.0,1278000000.0,952000000.0,39.16793505834602,21.61339421613394,16.100118383223403,21.774856203779784
A,Agilent Technologies,2021,2021-07-31,1586000000.0,852000000.0,349000000.0,264000000.0,53.72005044136192,22.005044136191675,16.64564943253468,19.26605504587156
A,Agilent Technologies,2021,2021-04-30,1525000000.0,817000000.0,288000000.0,216000000.0,53.57377049180327,18.885245901639344,14.163934426229508,20.87912087912088
A,Agilent Technologies,2021,2021-01-31,1548000000.0,838000000.0,337000000.0,288000000.0,54.134366925064604,21.77002583979328,18.6046511627907,7.6923076923076925
A,Agilent Technologies,2020,2020-10-31,1483000000.0,788000000.0,344000000.0,222000000.0,53.135536075522595,23.1962238705327,14.969656102494945,21.554770318021202
APD,Air Products & Chemicals,2021,2021-09-30,2841100000.0,834800000.0,616700000.0,610400000.0,29.38298546337686,21.706381331174544,21.48463623244518,18.099089989888775
APD,Air Products & Chemicals,2021,2021-06-30,2604700000.0,802800000.0,598400000.0,533600000.0,30.821207816639152,22.973854954505317,20.48604445809498,16.25119846596357
APD,Air Products & Chemicals,2021,2021-03-31,2502000000.0,756500000.0,555800000.0,473100000.0,30.235811350919267,22.214228617106315,18.90887290167866,20.350584307178632
APD,Air Products & Chemicals,2020,2020-12-31,2375200000.0,742800000.0,562500000.0,482000000.0,31.27315594476255,23.682216234422366,20.293027955540584,19.29527358970015
AKAM,Akamai Technologies,2021,2021-09-30,860333000.0,543467000.0,207146000.0,178916000.0,63.16937743873593,24.077421184587827,20.796133590133124,7.087513761658462
AKAM,Akamai Technologies,2021,2021-06-30,852824000.0,532824000.0,197460000.0,156497000.0,62.47760381977994,23.153663592957045,18.350445109424687,10.31998899751298
AKAM,Akamai Technologies,2021,2021-03-31,842708000.0,536021000.0,189544000.0,155695000.0,63.606967063324426,22.492251171224193,18.475557369812556,7.099341857953495
AKAM,Akamai Technologies,2020,2020-12-31,846287000.0,542440000.0,165579000.0,113370000.0,64.09645900267876,19.565348398356587,13.396164658088805,3.537880334898918
ALB,Alaska Air Group,2021,2021-09-30,830566000.0,249273000.0,140285000.0,-392781000.0,30.012425261809415,16.890289272616503,-47.290763166322726,0.0
ALB,Alaska Air Group,2021,2021-06-30,773896000.0,248417000.0,121048000.0,424600000.0,32.09953275375503,15.641378169676546,54.86525321231793,19.339543342016256
ALB,Alaska Air Group,2021,2021-03-31,829291000.0,263687000.0,163462000.0,95677000.0,31.796679332104173,19.711054382599112,11.537204672424998,15.812739172418727
ALB,Alaska Air Group,2020,2020-12-31,879147000.0,266720000.0,136337000.0,84635000.0,30.338498567361317,15.50787297232431,9.626945209390465,-10.970285416395152
ALK,Albemarle Corporation,2021,2021-09-30,1953000000.0,562000000.0,257000000.0,194000000.0,28.776241679467486,13.159242191500256,9.933435739887353,20.816326530612244
ALK,Albemarle Corporation,2021,2021-06-30,1527000000.0,246000000.0,-36000000.0,397000000.0,16.110019646365423,-2.357563850687623,25.998690242305173,24.810606060606062
ALK,Albemarle Corporation,2021,2021-03-31,797000000.0,-312000000.0,-573000000.0,-131000000.0,-39.146800501882055,-71.89460476787954,-16.4366373902133,0.0
ALK,Albemarle Corporation,2020,2020-12-31,808000000.0,-213000000.0,-449000000.0,-447000000.0,-26.361386138613863,-55.569306930693074,-55.32178217821782,0.0
ARE,Alexandria Real Estate Equities,2021,2021-09-30,550850000.0,384855000.0,136082000.0,103147000.0,69.86566215848235,24.70400290460198,18.72506126894799,0.0
ARE,Alexandria Real Estate Equities,2021,2021-06-30,512228000.0,368273000.0,140341000.0,385084000.0,71.89630398962962,27.398150823461425,75.1782409395816,0.0
ARE,Alexandria Real Estate Equities,2021,2021-03-31,483386000.0,345498000.0,130589000.0,8121000.0,71.47455656556045,27.01547003843719,1.6800238318859049,0.0
ARE,Alexandria Real Estate Equities,2020,2020-12-31,467313000.0,330546000.0,120106000.0,441484000.0,70.7333200659943,25.701403556074837,94.4728693616484,0.0
ALGN,Align Technology,2021,2021-09-30,1015906000.0,755156000.0,261160000.0,180969000.0,74.33325524211885,25.707102822505234,17.81355755355318,30.924698841168297
ALGN,Align Technology,2021,2021-06-30,1010808000.0,758538000.0,268902000.0,199714000.0,75.04273808675832,26.602678253436856,19.757857080672096,25.702189715850327
ALGN,Align Technology,2021,2021-03-31,894771000.0,677098000.0,225446000.0,200376000.0,75.67276990425484,25.195943990138257,22.39410977780907,23.409818019195708
ALGN,Align Technology,2020,2020-12-31,834520000.0,610463000.0,213184000.0,158988000.0,73.15139241719791,25.545702919043283,19.051430762594066,25.894230500321612
ALLE,Allegion,2021,2021-09-30,717000000.0,300500000.0,140500000.0,143500000.0,41.91073919107392,19.595536959553698,20.0139470013947,-1.9886363636363635
ALLE,Allegion,2021,2021-06-30,746900000.0,320500000.0,147400000.0,118700000.0,42.91069754987281,19.734904270986746,15.8923550676128,12.77533039647577
ALLE,Allegion,2021,2021-03-31,694300000.0,297400000.0,133200000.0,108000000.0,42.83450957799222,19.184790436410772,15.555235488981708,11.673469387755102
ALLE,Allegion,2020,2020-12-31,727300000.0,320700000.0,164100000.0,93300000.0,44.09459645263303,22.56290389110408,12.828268939914752,11.720226843100189
LNT,Alliant Energy,2021,2021-09-30,1024000000.0,480000000.0,289000000.0,256000000.0,46.875,28.22265625,25.0,-8.936170212765958
LNT,Alliant Energy,2021,2021-06-30,817000000.0,367000000.0,176000000.0,144000000.0,44.92044063647491,21.542227662178703,17.62545899632803,-13.385826771653544
LNT,Alliant Energy,2021,2021-03-31,901000000.0,388000000.0,198000000.0,171000000.0,43.06326304106548,21.975582685904552,18.978912319644838,-19.58041958041958
LNT,Alliant Energy,2020,2020-12-31,817000000.0,299000000.0,88000000.0,64000000.0,36.59730722154223,10.771113831089352,7.833537331701345,-18.51851851851852
ALL,Allstate Corp,2021,2021-09-30,12480000000.0,2357000000.0,318000000.0,538000000.0,18.88621794871795,2.548076923076923,4.310897435897436,8.849557522123893
ALL,Allstate Corp,2021,2021-06-30,12646000000.0,3642000000.0,1988000000.0,1625000000.0,28.799620433338607,15.720385892772418,12.84991301597343,20.144685587089594
ALL,Allstate Corp,2021,2021-03-31,12451000000.0,4643000000.0,3191000000.0,-1381000000.0,37.290177495783475,25.628463577222714,-11.0914785960967,20.646437994722955
ALL,Allstate Corp,2020,2020-12-31,12018000000.0,4590000000.0,3429000000.0,2624000000.0,38.1927109335996,28.532201697453818,21.8339157929772,20.725075528700906
GOOGL,Alphabet (Class A),2021,2021-06-30,61880000000.0,35653000000.0,19361000000.0,18525000000.0,57.616354234001285,31.2879767291532,29.936974789915965,15.738003183989083
GOOGL,Alphabet (Class A),2021,2021-03-31,55314000000.0,31211000000.0,16437000000.0,17930000000.0,56.42513649347363,29.715804317171056,32.414940159814876,15.754357938260583
GOOGL,Alphabet (Class A),2020,2020-12-31,56898000000.0,30818000000.0,15651000000.0,15227000000.0,54.16359098738093,27.507118000632712,26.761924847973567,18.524265610787094
GOOGL,Alphabet (Class A),2020,2020-09-30,46173000000.0,25056000000.0,11213000000.0,11247000000.0,54.26547982587226,24.284755159941955,24.358391267623936,15.809566584325175
GOOG,Alphabet (Class C),2021,2021-06-30,61880000000.0,35653000000.0,19361000000.0,18525000000.0,57.616354234001285,31.2879767291532,29.936974789915965,15.738003183989083
GOOG,Alphabet (Class C),2021,2021-03-31,55314000000.0,31211000000.0,16437000000.0,17930000000.0,56.42513649347363,29.715804317171056,32.414940159814876,15.754357938260583
GOOG,Alphabet (Class C),2020,2020-12-31,56898000000.0,30818000000.0,15651000000.0,15227000000.0,54.16359098738093,27.507118000632712,26.761924847973567,18.524265610787094
